Date ,Day of Week,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
10-Jul-24,Wednesday,July,Q3,2024,EQ,1492.00,1494.45,1460.00,1478.00,1487.80,1487.80,1481.57,1621.40,708.00,2082079.00,3084749713.40,84527.00
09-Jul-24,Tuesday,July,Q3,2024,EQ,1480.00,1503.95,1475.00,1475.30,1479.65,1478.00,1486.04,1621.40,708.00,2256634.00,3353451582.40,113670.00
08-Jul-24,Monday,July,Q3,2024,EQ,1496.00,1501.05,1469.00,1500.45,1477.00,1475.30,1479.26,1621.40,708.00,2177821.00,3221561355.15,98212.00
05-Jul-24,Friday,July,Q3,2024,EQ,1508.00,1509.50,1493.90,1503.65,1499.50,1500.45,1501.11,1621.40,708.00,2111633.00,3169785119.55,79173.00
04-Jul-24,Thursday,July,Q3,2024,EQ,1514.65,1520.00,1494.35,1510.65,1501.95,1503.65,1507.38,1621.40,708.00,2980840.00,4493266923.05,104740.00
03-Jul-24,Wednesday,July,Q3,2024,EQ,1479.80,1514.00,1470.80,1474.85,1510.05,1510.65,1493.66,1621.40,708.00,4435563.00,6625241814.30,95534.00
02-Jul-24,Tuesday,July,Q3,2024,EQ,1479.50,1489.60,1455.05,1474.50,1474.50,1474.85,1468.63,1621.40,708.00,5368562.00,7884441260.00,87468.00
01-Jul-24,Monday,July,Q3,2024,EQ,1483.00,1491.40,1471.60,1478.10,1475.00,1474.50,1479.65,1621.40,708.00,3372730.00,4990454948.95,81073.00
28-Jun-24,Friday,June,Q2,2024,EQ,1480.00,1494.00,1445.00,1485.50,1475.00,1478.10,1458.03,1621.40,705.10,11534763.00,16817984974.30,119211.00
27-Jun-24,Thursday,June,Q2,2024,EQ,1475.60,1494.00,1459.00,1467.80,1488.00,1485.50,1474.58,1621.40,705.10,7803408.00,11506729527.65,189880.00
26-Jun-24,Wednesday,June,Q2,2024,EQ,1458.90,1474.50,1451.05,1456.15,1472.00,1467.80,1463.53,1621.40,705.10,3217949.00,4709575273.85,97672.00
25-Jun-24,Tuesday,June,Q2,2024,EQ,1466.15,1468.90,1437.00,1460.25,1454.50,1456.15,1450.20,1621.40,705.10,3343186.00,4848298140.85,108468.00
24-Jun-24,Monday,June,Q2,2024,EQ,1474.85,1479.65,1450.20,1485.50,1460.25,1460.25,1461.90,1621.40,705.10,3009931.00,4400218717.50,103413.00
21-Jun-24,Friday,June,Q2,2024,EQ,1479.95,1498.90,1470.00,1469.40,1475.95,1485.50,1485.14,1621.40,703.00,25891893.00,38453016485.20,222567.00
20-Jun-24,Thursday,June,Q2,2024,EQ,1459.30,1476.80,1444.10,1448.40,1470.75,1469.40,1464.46,1621.40,703.00,4905603.00,7184040756.10,172729.00
19-Jun-24,Wednesday,June,Q2,2024,EQ,1446.00,1452.00,1420.45,1445.00,1452.00,1448.40,1438.23,1621.40,703.00,4484742.00,6450111310.85,153477.00
